Needle Number,Hole Location,Number of Seeds
,A1,
,A3,
,A5,
,A7,
,A9,
,A11,
,A13,
,A15,
,A17,
,a2,
,a4,
,a6,
,a8,
,a10,
,a12,
,a14,
,a16,
,a18,
,B1,
,B3,
,B5,
,B7,
,B9,
,B11,
,B13,
,B15,
,B17,
,b2,
,b4,
,b6,
,b8,
,b10,
,b12,
,b14,
,b16,
,b18,
,C1,
,C3,
,C5,
,C7,
,C9,
,C11,
,C13,
,C15,
,C17,
,c2,
,c4,
,c6,
,c8,
,c10,
,c12,
,c14,
,c16,
,c18,
,D1,
,D3,
,D5,
,D7,
,D9,
,D11,
,D13,
,D15,
,D17,
,d2,
,d4,
,d6,
,d8,
,d10,
,d12,
,d14,
,d16,
,d18,
,E1,
,E3,
,E5,
,E7,
,E9,
,E11,
,E13,
,E15,
,E17,
,e2,
,e4,
,e6,
,e8,
,e10,
,e12,
,e14,
,e16,
,e18,
,F1,
,F3,
,F5,
A3,F7,1
,F9,1
,F11,2
,F13,1
,F15,
,F17,
,f2,
,f4,
,f6,1
,f8,2
,f10,2
,f12,1
,f14,
,f16,
,f18,
,G1,
,G3,
,G5,
,G7,2
,G9,1
,G11,2
,G13,1
,G15,
,G17,
,g2,
,g4,
,g6,2
,g8,3
,g10,2
,g12,2
,g14,
,g16,
,g18,
,H1,
,H3,
,H5,
,H7,3
,H9,2
,H11,2
,H13,1
,H15,
,H17,
,h2,
,h4,
,h6,2
,h8,3
,h10,2
,h12,2
,h14,
,h16,
,h18,
,I1,
,I3,
,I5,
A23,I7,3
,I9,3
,I11,3
,I13,1
,I15,
,I17,
,i2,
,i4,
,i6,
,i8,3
,i10,3
,i12,2
,i14,
,i16,
,i18,
,J1,
,J3,
,J5,
,J7,2
,J9,3
,J11,3
,J13,1
,J15,
,J17,
,j2,
,j4,
,j6,
,j8,2
,j10,3
,j12,2
,j14,
,j16,
,j18,
,K1,
,K3,
,K5,
,K7,
,K9,2
,K11,3
,K13,1
,K15,
,K17,
,k2,
,k4,
,k6,
,k8,1
,k10,1
,k12,1
,k14,
,k16,
,k18,
,L1,
,L3,
,L5,
,L7,
,L9,
,L11,
,L13,
,L15,
,L17,
,l2,
,l4,
,l6,
,l8,
,l10,
,l12,
,l14,
,l16,
,l18,
,M1,
,M3,
,M5,
,M7,
,M9,
,M11,
,M13,
,M15,
,M17,
,m2,
,m4,
,m6,
,m8,
,m10,
,m12,
,m14,
,m16,
,m18,
,N1,
,N3,
,N5,
,N7,
,N9,
,N11,
,N13,
,N15,
,N17,
,n2,
,n4,
,n6,
,n8,
,n10,
,n12,
,n14,
,n16,
,n18,
,O1,
,O3,
,O5,
,O7,
,O9,
,O11,
,O13,
,O15,
,O17,
,o2,
,o4,
,o6,
,o8,
,o10,
,o12,
,o14,
,o16,
,o18,
,P1,
,P3,
,P5,
,P7,
,P9,
,P11,
,P13,
,P15,
,P17,
,p2,
,p4,
,p6,
,p8,
,p10,
,p12,
,p14,
,p16,
,p18,
